Entry ID,Entry
843,Bnay Qyāmā and Bnāt Qyāmā
949,The Church of All Worlds
977,Chishti Sufis
975,Neo-Charismatic Movement - Third Wave Charismatic Movement
980,Pure Land Buddhist Schools in Early Medieval Japan
982,The Samaritans (Persian to early Roman periods)
877,The International Network of Engaged Buddhists - INEB
983,Tibetan and Himalayan Mundane and Landscape Cults
984,Calvinism (Early/Reformation)
986,Theurgy
985,The Victorines
987,"Parsis, Zoroastrians of India"
988,Churches of Christ- United States
991,Beat Buddhism
993,Pontifex Maximus and Pontifices (Pontifical College)
994,"Monastic Communities of Lower Egypt: Nitria, Kellia, Scetis"
995,Tamil Neo-Saivism
1004,Religion in Roman Ostia
1013,Estado da Índia Renegades in Deccan
1037,Third Intermediate Period in Ancient Egypt
1038,Sino-Muslims in Qing China
1041,Korean Catholicism
1043,Islam in Aceh
1044,Han Imperial Cult under Emperor Wu
1069,Religion at Deir el-Medina
1071,Digital Shinto Communities
1076,Inquisitors of Goa's Santo Ofício
1083,Drukpa Kagyü School (Bhutan)
1087,The Bogomils
968,"Anabaptist Mennonites in North America, 1683-2021"
1127,Anglican Church of Korea
1129,Ancient Thessalians
1134,Tiantai
1140,Early Medieval Confucianism
1154,The Cult of the Fox
1162,Lingbao dafa
1172,Twofold Mystery (Chongxuan 重玄)
1180,Batak Traditional Religions
1192,Kaharingan
1218,Yiguan Dao/I-Kuan Tao 一貫道
1229,Three Self Patriotic Movement (TSPM)
1241,Taiping 太平 Movement
1247,Exovedate
1258,Religion in Judah
1293,The Zapotec or Ben 'Zaa (The Cloud People)
1295,Donatism
1311,Jehovah's Witnesses
1248,Religion in the Old Assyrian Period
1321,Mourides (Muridiyya)
1304,Peyote Religion (Peyotism) and the Native American Church
1340,International Sivananda Yoga Vedanta Centers
1307,Southern Baptists
1334,No-debt Movement in US Evangelicalism
1341,Muslim Students Association of the United States and Canada
924,Muridiyya of Senegal
1352,Śākadvīpīya Brāhmaṇas
1335,Congregation of the Oratory
1333,Cult of Thecla
1344,Tibetan Nonsectarianism (ris med)
1369,Astronomers in Babylon
1371,Twelver Shi'ism in post-revolutionary Iran
1374,The Reformed Church (Early Orthodoxy)
1348,Disability-focused Christianity for Palestinians
1386,Liumen (Liu School)
1400,The Buddhist Nuns of 4th - 6th century China
1396,Ptolemaic Egypt - Egyptian Religion
1300,"Enlace de Agentes de Pastoral Indígena (EAPI, Network of Indigenous Ministry Agents)"
1419,Ancient Egyptian Religion in the Early 18th Dynasty
1426,Early Missionary Christianity in China
1436,The Monastic School of Gaza
1441,Mexica (Aztec) Religion
1466,Islamic modernists
1495,Secular Buddhists
1511,Sokoto
1517,Tunisian Women's Associations
1522,Tijaniyya Order/ الطريقة التيجانية
1555,Al-Ahbash الأحباش
1570,Tamil Muslims
1544,Ukrainian Greek Catholic Church
1535,الجمعية الخيرية الإسلامية بمدينة سوق الأربعاء
1627,Mount Putuo 普陀山
1626,The Cult of Maritime Hera
1636,The second phase of the Iconoclastic Controversy
1653,Homoian Christianity amongst Visigoths
1654,Le Parti du Mouvement de La Nahdha حزب حركة النهضة
1703,Arsenites
