Entry ID,Entry
826,"The Church of Christ, Scientist"
894,Universal Fellowship of Metropolitan Community Churches
906,The Church of England
873,The Branch Davidians
914,Tariqa Shadhiliyya
869,Sichuan Esoteric Buddhist Cult
910,Christian Base Community movement
921,Bhils
885,Contemporary West African Vodun
926,Ladakhi Buddhism
919,Catholicism in contemporary Croatia
854,pre-Christian Irish
927,Zealots
928,The Ghost Dance Movement and the Lakota Sioux
929,Drikung Kagyu
933,Marcionites
934,Mongolian Buddhism during the Revolutionary Period
935,Nigerian Pentecostalism
937,Vestal Virgins
938,Ugarit
915,Protestantism welcoming People with Disabilities
940,Julio-Claudian Imperial Cult
941,Chan Buddhists in early Qing period
942,African Methodist Episcopal Church
944,Mohyla's Ukrainian Church
931,The Society of Jesus (Jesuits) in Britain
925,Rabbinic Judaism (Babylonia)
946,Nyingma (rnying ma)
948,Christianity in Ephesus
950,The Religious Society of Friends
943,Moravian Missionaries in Nunatsiavut
953,Sachchai
957,Spartan Religion
958,Society of Jesus
952,Ethiopian Jews
960,Bön (Bon)
961,Romanian Orthodox Church
962,Amdo Gelukpa
963,The Knights Templar
964,Baul Fakirs of Bengal
966,"Naqshbandī Order, Naqshbandī Tarīqa, Naqshbandīyyah, Khwājagān,"
967,Unitarian Universalism
848,Sadducees
965,Pachomian Monasticism
969,Adi Dravida/Valluva Sakya Buddhism
972,Nestorian Christianity
973,The Sarna religion of the Oraons of Jharkhand
852,Pre-Christian Religion / Paganism in Ireland
974,"Greek Chalcedonian Christians, Nicaea"
970,Cult of Isis (Mysteries of Isis)
971,Gāṇapatya
976,Mising Community
978,Indonesian Catholicism
843,Bnay Qyāmā and Bnāt Qyāmā
949,The Church of All Worlds
977,Chishti Sufis
975,Neo-Charismatic Movement - Third Wave Charismatic Movement
980,Pure Land Buddhist Schools in Early Medieval Japan
981,Nation of Islam
982,The Samaritans (Persian to early Roman periods)
877,The International Network of Engaged Buddhists - INEB
983,Tibetan and Himalayan Mundane and Landscape Cults
984,Calvinism (Early/Reformation)
986,Theurgy
985,The Victorines
987,"Parsis, Zoroastrians of India"
988,Churches of Christ- United States
991,Beat Buddhism
993,Pontifex Maximus and Pontifices (Pontifical College)
994,"Monastic Communities of Lower Egypt: Nitria, Kellia, Scetis"
995,Tamil Neo-Saivism
1004,Religion in Roman Ostia
1006,Ancient Egypt - Old Kingdom
1008,Ancient Egypt - First Intermediate Period
1010,Pythagoreanism
1013,Estado da Índia Renegades in Deccan
1012,Inhabitants of Medieval Kurgus
1028,German Pietists (Hasidei Ashkenaz)
1037,Third Intermediate Period in Ancient Egypt
1038,Sino-Muslims in Qing China
1041,Korean Catholicism
1043,Islam in Aceh
1044,Han Imperial Cult under Emperor Wu
1051,Religion at Tell el-Dab'a (ancient Avaris) in Ancient Egypt
1060,The Taizhou Movement
1069,Religion at Deir el-Medina
1071,Digital Shinto Communities
1076,Inquisitors of Goa's Santo Ofício
1083,Drukpa Kagyü School (Bhutan)
1087,The Bogomils
1024,Universal Salvation Ritual
968,"Anabaptist Mennonites in North America, 1683-2021"
1109,Chan Buddhism in the Song
1108,Early Christianity and Monasticism in Egypt
1127,Anglican Church of Korea
1129,Ancient Thessalians
1133,Religion in Greco-Roman Egypt
1134,Tiantai
1136,The Fellowship of Goodness 同善社 (Tongshanshe)
1140,Early Medieval Confucianism
1153,Russian Orthodox Mission in Alaska
1154,The Cult of the Fox
1162,Lingbao dafa
1172,Twofold Mystery (Chongxuan 重玄)
1178,Modern Mystery School (MMS)
1180,Batak Traditional Religions
1191,Religion in Greco-Roman Alexandria
1192,Kaharingan
1156,Solovetski monastery
1218,Yiguan Dao/I-Kuan Tao 一貫道
1229,Three Self Patriotic Movement (TSPM)
1189,Yādiya/Sam'al
1231,"Shenxiao 神霄 (""""""""Divine Empyrean"""""""") Daoism"
1197,Atheism in the Soviet Union
1241,Taiping 太平 Movement
1247,Exovedate
1258,Religion in Judah
1279,Mandarese Muslims
1283,Butonese Muslims
1284,Religion of Phoenicia
1289,Buginese Muslims
1293,The Zapotec or Ben 'Zaa (The Cloud People)
1295,Donatism
1309,Circumcellions
1312,Bishnoi
1311,Jehovah's Witnesses
1248,Religion in the Old Assyrian Period
1319,Reginistas
1321,Mourides (Muridiyya)
1322,Pagans under the Emperor Julian
1304,Peyote Religion (Peyotism) and the Native American Church
1340,International Sivananda Yoga Vedanta Centers
1337,Tell Afis (Syria)
1307,Southern Baptists
1334,No-debt Movement in US Evangelicalism
1341,Muslim Students Association of the United States and Canada
924,Muridiyya of Senegal
1349,The Dingxiang Wang Cult
1352,Śākadvīpīya Brāhmaṇas
1335,Congregation of the Oratory
1357,Encratites
1333,Cult of Thecla
1344,Tibetan Nonsectarianism (ris med)
1369,Astronomers in Babylon
1371,Twelver Shi'ism in post-revolutionary Iran
1374,The Reformed Church (Early Orthodoxy)
1348,Disability-focused Christianity for Palestinians
1386,Liumen (Liu School)
1392,Messalians
1400,The Buddhist Nuns of 4th - 6th century China
1396,Ptolemaic Egypt - Egyptian Religion
1412,Tenrikyo
1415,Anomeans
1300,"Enlace de Agentes de Pastoral Indígena (EAPI, Network of Indigenous Ministry Agents)"
1419,Ancient Egyptian Religion in the Early 18th Dynasty
1426,Early Missionary Christianity in China
1436,The Monastic School of Gaza
1441,Mexica (Aztec) Religion
1454,Hesychastic Controversy
1466,Islamic modernists
1495,Secular Buddhists
1511,Sokoto
1517,Tunisian Women's Associations
1522,Tijaniyya Order/ الطريقة التيجانية
1555,Al-Ahbash الأحباش
1570,Tamil Muslims
1529,Byzantine Iconoclasts (726-787 CE)
1582,Cult of Bona Dea
1544,Ukrainian Greek Catholic Church
1535,الجمعية الخيرية الإسلامية بمدينة سوق الأربعاء
1619,"Saint Nicholas """"""""Maroulenas"""""""", Kastania, southern Greece, byzantine church"
1624,Neo-Assyrian Healers (āšipu/mašmaššu-exorcists)
1627,Mount Putuo 普陀山
1626,The Cult of Maritime Hera
1636,The second phase of the Iconoclastic Controversy
1653,Homoian Christianity amongst Visigoths
1654,Le Parti du Mouvement de La Nahdha حزب حركة النهضة
1690,Christianity in Byzantium: between the end of Iconoclasm and the Schism
1694,Christianity in Byzantium: Between the Schism and the Fourth Crusade
1703,Arsenites
